mt,src,score
W ciągu sześciu sekund straciłeś przytomność W 10 sekund jesteś martwy.,"In six seconds, you passed out in 10 seconds, you're dead.",4.333333333
"Ta seria wystaw została stworzona specjalnie po to, aby spróbować zakwestionować ideę tego, co oznaczałoby teraz, w tym momencie historii, postrzeganie sztuki jako katalizatora, co to znaczy teraz, w tym momencie historii, kiedy definiujemy i redefiniujemy kulturę czarnej kultury, szczególnie w moim przypadek, ale ogólnie kultura.",This series of exhibitions was made specifically to try and question the idea of what it would mean now at this point in history to see art as a catalyst what it means now at this point in history as we define and redefine culture black culture specifically in my case but culture generally.,3.666666667
"Ok, zaczynamy.","Okay, here we go.",4.5
Więc to są problemy.,So these are the problems.,4.666666667
"Kiedy o tym pisałem, natknąłem się na książkę Viktora Frankla pt. Człowiek szuka sensu.",Now while I was writing about this I came upon a book called Man is Search for Meaning by Viktor Frankl.,4.666666667
"Należy to naprawić, ponieważ jeśli nie możesz wprowadzić tych osób do formalnej siły roboczej, w końcu stworzysz całą masę osób, które są całkowicie pozbawione praw wyborczych.",This needs to be fixed because unless you can bring these people into the formal workforce you will end up creating a whole lot of people who are completely disenfranchised.,4.25
"Chociaż gorąco popieram fakt, że ukradł jej pamiętnik, to nie ja.","Although I strongly support the fact that he stole her diary, it's not me.",4.583333333
"I wiesz, ludzie zawsze pytaliby Jamesa Watsona, że ​​nie zawsze jest najbardziej poprawnym politycznie facetem.","And, you know, people would always ask James Watson that he's not always the most politically correct guy.",4.166666667
Ponieważ tak właśnie się robi z pękniętą szybą.,Because that is what you do with a cracked pane.,4.833333333
"A będąc laptopem za zero dolarów, możemy jechać do krajów, których w ogóle na to nie stać.","And as a zero-dollar laptop, we can go to countries that can't afford it at all.",4.416666667
To niedźwiedź duch lub niedźwiedź Kermode.,It is a spirit bear or a Kermode bear.,4
"Jesteśmy teraz na etapie trzecim na etapie alarmu pandemicznego z niewielkim przenoszeniem się z człowieka na człowieka, ale bez trwałego przenoszenia z człowieka na człowieka.",We are now at stage three on the pandemic alert stage with just a little bit of human to human transmission but no human to human to human sustained transmission.,4.083333333
Ponad 80 procent Wybrzeża Kości Słoniowej to rozwój związany z sektorem nowoczesnym.,More than 80 percent of Ivory Coast is development went into the modern sector.,4.666666667
"Więc naprawdę podejrzewam, że istnieje alternatywa i że życie tak naprawdę stara się działać nie świadomie, ale tylko dlatego, że tak jest.",So I really suspect there is an alternative and that life does actually try to do itself in not consciously but just because it does.,4.25
Na lądzie życie zmieniło się w kąt. Uformowane szczęki pierwsze zęby pojawiły się później.,On land life turned into an angle. The formed jaws first teeth appeared later.,3.833333333
"Jest w twoich rękach, moich i naszych dzieci.","It's in your hands, mine and our children.",4.583333333
"Mam tylko kilka przykładów. Fizycznie naprawdę fajne, eleganckie myślenie, które ostatnio pojawia się.","I have just a few examples, physically really cool, elegant thinking that's been coming up lately.",4.166666667
"To niezbyt miłe, ale w końcu musieliśmy się dowiedzieć, jaka jest odpowiedź.","That's not very nice, but we finally had to find out what the answer was.",4.333333333
Jest to główna psychologiczna plaga ludzkości w XXI wieku.,This is the main psychological plague of humanity in the 21st century.,4.75
"Poproszę twojego listonosza, który przygotuje plany kolacji.",I'll have your mailman make dinner plans.,3.583333333
Jedna to Megan ta z prawej i Katja tam.,One is Megan the one on the right and Katja over there.,4.25
I tak ten materiał wyjściowy wraca do podstawowego budulca.,And so this starting material is back to the basic building block.,4.5
Teraz patrz uważnie. To jest popcorn. Wyjaśnię to tutaj.,Now watch carefully. This is popcorn. I'll explain it here.,4.833333333
Tutaj jest.,There he is.,4.666666667
Długo przyszło po mnie.,It is been a long time in coming for me.,3.5
"I mają szefów, którzy besztają ich za bazgranie w sali konferencyjnej.",And they have bosses who scold them for scribbling in the conference room.,4.666666667
"Pewnego dnia młody człowiek spojrzał mi przez ramię i powiedział, że bardzo dobrze rysujesz.",One day a young man looked over my shoulder he said You draw very well.,4.25
"Mózg to mózg, który w ogóle nie potrzebuje oprogramowania 3D, ponieważ żyje na powierzchni stawu na równinie Edwina Abbotta.",A water strider is brain doesn not need 3D software at all since it lives on the surface of the pond in an Edwin Abbott flatland.,3.083333333
"Jeśli będą coraz mniej szczęśliwi, będzie to złe dla Amerykanów.",If they get less and less happy that will be bad for Americans.,4.666666667
"Cóż, myślę, że wygląda to trochę tak.","Well, I think it looks a little like this.",4.666666667
Dużo wiemy o Marsie.,We know a lot about Mars.,4.833333333
"Bo to, co określa ludzkość być może biologicznie, to nasza fizjologia, ale Bóg definiuje ludzkość przez naszą duchowość z naszej natury.","Because what human beings may be biologically defined is our physiology, but God defines humanity by our spirituality by our nature.",4
"Używamy pięciu polimerów w świecie przyrody, aby robić wszystko, co widzisz.",We use five polymers in the natural world to do everything that you see.,4.5
Musimy to udostępnić ludziom.,We have to make this available for people.,4.583333333
"Moja alma mater MIT i ja przeżyliśmy ten moment w rodzaju M Night Shayamalan, w którym pomyślałem, że muszę to zrobić.",My alma mater MIT and I had this moment a kind of M Night Shayamalan moment where I thought Whoa I have to do this.,4
W tym roku otrzymali tylko sześć centymetrów.,This year they received only six centimeters.,4.666666667
Dopiero na przełomie XIX i XX wieku ponad 90 procent dzieci przeżyło pierwszy rok.,Only at the turn of the 19th and 20th centuries did more than 90 percent of children survive the first year.,4.666666667
Jedna szósta PKB Indii pochodzi z Bombaju.,One sixth of the GDP in India is coming out of Mumbai.,4.166666667
Problem z zachowaniem znikał.,The behavioral problem was gone.,4.666666667
"Wątek, który łączy ich wszystkie nasze uzależnienie od paliw węglowych, takich jak brudny węgiel i obcy olej.","A thread that connects all our dependence on carbon fuels, such as dirty coal and alien oil.",4.166666667
Gospodarz Dziękuję Dziękuję.,Host Thank you Thank you.,4.416666667
"Ale to, co mi się w tym podoba, to to, że sprowadza się to do kogoś na ulicy z małą płaską powierzchnią śrubokrętem szczoteczką do zębów do czyszczenia główek stykowych, ponieważ często brudzą głowice i wiedzę.","But what I like about it is that it comes down to someone on the street with a small flat surface screwdriver to clean their contact heads, because they often dirty heads and knowledge.",3.416666667
"Tak więc w drugiej wersji jest 100 miliardów lub 1000 miliardów ludzi na Ziemi, ale wszyscy oni są przechowywani na twardych dyskach, dyskietkach lub czymkolwiek będą mieli w przyszłości.",So in the second version of it there are 100 billion or 1000 billion people on Earth but they are all stored on hard disks or floppies or whatever they have in the future.,4.5
"Okej, więc ten facet wciąż jest z nami.",Okay so that guy is actually still with us.,4.666666667
Wspiera także dzieci z klasy robotniczej chodzące do indyjskich szkół.,And it also supports working class kids going into Indian schools.,4.583333333
"I to jest ten materiał pośrodku, który jest tym, co robisz, jeśli nie zatrzymujesz emisji wystarczająco szybko.",And this is the material in the middle that's what you do if you don't stop the emissions fast enough.,4.333333333
"TD Mimo wszystko czułem, że chociaż zostałem oddzielony od moich bliskich i oczywiście teraz jestem jeszcze dalej.","TD After all, I felt that although I was separated from my loved ones and of course now I am even further away.",4.166666667
"Powiedzieliśmy, że będzie to tylko krótki okres, do 26. Przedłużyliśmy go do 31.",We said it would be just for a short period until the 26 We have extended it until the 31.,4.666666667
"A żeby to zrobić, wymaga to ekstremalnych temperatur, ekstremalnych ciśnień i dużych ilości zanieczyszczeń.",And to make that it involves extremes of temperature extremes of pressure and loads of pollution.,4.5
Dlatego być może spróbujesz uzyskać ten kąt widzenia.,That is why perhaps you will try to have this angle of vision.,4.583333333
"Dzieje się tak, że forma sztuki zderza się z daną technologią, niezależnie od tego, czy jest to farba na kamieniu, jak Grobowiec Pisarza w starożytnym Egipcie, czy płaskorzeźba wznosząca się na kamiennej kolumnie, haft o długości 200 stóp lub malowana skóra jelenia i kora drzewa na 88 kartkach złożonych na harmonijkę.","This is because the form of art collides with a given technology, whether it is a paint on a stone, like the Writer's Tomb in ancient Egypt, or a relief on a stone column, a 200-foot embroidery, or a painted deer leather and a tree bark on 88 sheets folded into a harmonica.",4.166666667
"Niektórzy z was mogą wiedzieć, że jest TEDsterem Stephenem Sagmeisterem, a ja pracuję nad niektórymi układami. A to wciąż jest w fazie wstępnej, to nie są finały, ale te obrazy z Worldchangingcom można umieścić w dowolnym rodzaju mediów.","Some of you may know that he's TEDster Stephen Sagmeister, and I'm working on some layouts. And this is still in the initial phase, it's not the finals, but these images from Worldchangingcom can be placed in any kind of media.",3.833333333
"Sposobem na zadanie tego pytania jest przyjrzenie się neandertalczykowi pochodzącemu z południowej Europy i porównanie go z genomami ludzi, którzy żyją dzisiaj.",And the way to ask that question is to look at the Neanderthal that comes from Southern Europe and compare it to genomes of people who live today.,4.583333333
"A w miejscach, gdzie są robaki, robaki jelitowe leczą dzieci z ich robaków.",And in places where there are worms intestinal worms cure the kids of their worms.,4.083333333
"Dobrze, aby się rozmnażać.",Well in order to reproduce.,4.166666667
Prawie nie mogłem tego dokończyć.,I almost couldn't finish it.,4.5
"Mała butelka mówi, że po prostu nie wiem.",A small bottle says I just don't know.,4.333333333
I nagle za tę samą kwotę mogli uratować siedem razy więcej istnień ludzkich.,"And suddenly, for the same amount, they could have saved seven times more lives.",4.5
"To tylko idea, że ​​sama pusta przestrzeń ma energię.",It's just the idea that empty space itself has energy.,4.75
"Mogę tego dotknąć, mogę się tym bawić.",I can touch it I can play with it.,4.666666667
"Ponieważ teraz, kiedy udostępniliśmy tę cząsteczkę zaledwie od grudnia ubiegłego roku z 40 laboratoriami w Stanach Zjednoczonych i 30 innymi w Europie, wiele z nich to firmy farmaceutyczne, które chcą teraz wejść w tę przestrzeń, aby zwalczać tego rzadkiego raka, który na szczęście jest teraz bardzo pożądany. studiować w tej branży.","Because now that we've only made this molecule available since December last year with 40 labs in the United States and 30 other labs in Europe, many of them are pharmaceutical companies that now want to enter this space to combat this rare cancer, which is fortunately very desirable right now. study in this industry.",3.583333333
Latamy ludźmi na takich drutach.,We fly people on wires like this.,3.166666667
Pochodzę z regionu w odległej północno-zachodniej części kraju.,I come from a region in a remote northwest part of the country.,4.666666667
"ZK Słusznie To właśnie to zaczęło rozmowę z profesorem Suslickiem i mną, a on wyjaśniał mi, co to umożliwia, poza wykrywaniem zepsutego jedzenia. Tak naprawdę leży to w znaczeniu.",ZK Right It was that that started a conversation with Professor Suslick and myself and he was explaining to me the things that this is making possible beyond just detecting spoiled food It is really where the significance of it lies.,4.25
I nigdy nie chciałbym pozbawić cię tego objawienia.,And I would never want to deprive you of this revelation.,4.833333333
"Wierzę, że będzie to określane jako rewolucja, że ​​tak powiem, kiedy społeczeństwo w obliczu wielkich wyzwań dokonało sejsmicznej zmiany od indywidualnego zdobywania i wydawania pieniędzy w kierunku ponownego odkrycia dobra zbiorowego.","I believe that this will be referred to as a revolution, so to speak, when society in the face of great challenges has made a seismic change from individual acquisition and spending of money towards a rediscovery of the collective good.",4.333333333
"Mówię O nie, kontynuuję.",I say Oh no I continue.,4.333333333
"Tak więc matematyka dla sąsiednich skór jest bardzo podobna do tego, czego potrzebujemy w nowej.",So the math for neighboring skins is very similar to what we need in the new one.,4.083333333
"To trochę jak Indianie z Andyjskiego Woodstock 60000 pielgrzymujący do końca polnej drogi, która prowadzi do świętej doliny zwanej Sinakara, w której dominują trzy języki wielkiego lodowca.",It is kind of like an Andean Woodstock 60000 Indians on pilgrimage to the end of a dirt road that leads to the sacred valley called the Sinakara which is dominated by three tongues of the great glacier.,4.333333333
"Spędź noc w więzieniu, spędzając dzień na pracy.","Spend the night in jail, spending your day at work.",4.5
Ale jak każdy z nas miał pewne problemy.,But like all of us he had some problems.,4.666666667
"OK, to jest kompletny model Teraz możemy przejść do fazy malowania.","OK, this is a complete model now we can go to the painting phase.",4.25
Dopiero teraz inwestycje nie będą polegały na nieustępliwym i bezmyślnym dążeniu do wzrostu konsumpcji.,Only now investment isn not going to be about the relentless and mindless pursuit of consumption growth.,4.333333333
"Na te systemy również oczekuje się patent, który jest w posiadaniu społeczności.",And there is a patent pending on these systems as well that is held by the community.,3.333333333
"Powrót do Yad Vashem trzy lata temu Po tym, jak ten cały epizod się rozpoczął, Yad Vashem zdecydował się całkowicie przebudować muzeum historyczne, ponieważ teraz w Waszyngtonie powstało Muzeum Holokaustu w Waszyngtonie, które jest o wiele bardziej obszerne pod względem informacji.",Back to Yad Vashem three years ago After all this episode began Yad Vashem decided to rebuild completely the historic museum because now Washington was built the Holocaust Museum in Washington and that museum is so much more comprehensive in terms of information.,4.25
Wtedy sprzeciw wobec uczciwości znika.,Then the fairness objection goes away.,4.5
Skutki tego są dobrze znane. Są wszędzie.,The effects of this are well known.,4.666666667
Wchodzi w tę wielką debatę w połowie XIX wieku. Czy pisma święte są wiarygodne Czy możemy im ufać.,It enters this great debate in the middle of the 19th century. Are the scriptures reliable or can we trust them.,4.25
Istnieje niewyczerpana liczba programów.,There is an inexhaustible supply of programs out there.,4.416666667
"Wszystkie inne kraje, na przykład Wielka Brytania, mogą pożyczać pieniądze tylko na kwotę będącą w obiegu wewnątrz jej własnych granic.",All the other countries for example the United Kingdom can borrow only against the amount of money in circulation inside its own borders.,4.583333333
Poszukiwania te zaprowadziły mnie do starożytnej Grecji i starożytnego Rzymu.,This search led me to ancient Greece and ancient Rome.,5
Czy możemy uzyskać samoreplikujące się zachowanie typu.,Can we get self replicating type behavior.,3.833333333
"Ponadto jest wydzielony z firmy ChemSensing, która zajmuje się sprzętem medycznym na uniwersytecie.",In addition he is spun off a company from the University called ChemSensing where they are working on medical equipment.,4.416666667
Dlatego chcę cię przywitać jak szympans w lasach Tanzanii Ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh,Ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh,4.333333333
To dobra wiadomość.,That is the good news.,5
"Jeśli dziś esencjalizuję dla ciebie płeć, możesz odrzucić to, co mam do powiedzenia.",If I essentialize gender for you today then you can dismiss what I have to say.,4.083333333
"Oznacza to, że możemy mieć jakąś formę samoreplikacji.",This means that we may have some form of self-replication.,4.5
Philip K Howard Cztery sposoby naprawienia zepsutego systemu prawnego.,Philip K Howard Four ways to repair a corrupt legal system.,4.5
"Na przykład są różne kolory, a każdy kolor ma inny rodzaj śpiewanego pop country i zachodniego jazzu operowego i po prostu musisz być spójny z tym kolorem.",For example there are different colors and each color gets a different type of singing pop country and western opera jazz and you just have to be consistent with that color.,3.75
"Rzeczywiście, złapałem jednego, zupełnie zapomniałem, że złapałem jednego.","In fact, I caught one, I completely forgot I caught one.",4.333333333
"Pierwszą nauką kosmologiczną, która przypominała naukę, była nauka arystotelesowska i była hierarchiczna.",The first science of cosmology that was anything like science was Aristotelian science and that was hierarchical.,3.916666667
Nadużywanie binging steroidów i tak dalej.,Abuse of steroids binging and so on.,3.916666667
"Więc obeszliśmy stół ze studiem, producentami i scenarzystą, a oni przyszli do mnie i powiedzieli Shekharowi, co o tym myślisz.",So we went around the table with the studio and the producers and the writer and they came to me and said Shekhar what do you think.,3.75
Taki będzie dla mnie widok na wysokości 90000 stóp.,That's what I'm gonna see at a height of 90000 feet.,4.333333333
"Z drugiej strony spróbuj powiedzieć, że tak nie jest, ponieważ obecnie istnieje naukowy konsensus co do tego wzorca.","On the other hand, try to say that this is not the case because there is now a scientific consensus about this pattern.",4.333333333
W innych przypadkach nie muszą składać ofert. Mogą zdecydować.,"In other cases, they don't have to submit offers.",4.5
"Jeśli chodzi o to, gdzie jesteśmy w nauce ze zdolnością identyfikacji DNA i tak dalej, nie jest to tak daleko.","When it comes to where we are in science with the ability to identify DNA and so on, it's not that far away.",4.25
Mamy tutaj listę starych wirusów.,We have a list of old viruses here.,4.666666667
"Zaczynają prowadzić program uświadamiający, przyglądając się, jak to może faktycznie działać w mieście.","They start running an awareness-raising program, watching how it actually works in the city.",4.166666667
"No cóż, mężczyźni są bardziej cudzołożni.","Well, men are more adulterous.",4.333333333
A potem te modne młode rzeczy na Sorbonie powie Madame Draupadi on n'est pas feministe mais ça Ça.,And then these fashionable young things on the Sorbonne will tell Madame Draupadi on n'est pas feministe mais ça Ça.,3.916666667
Chodzi o ponowne odkrycie idealizmu we wszystkich tych wrakach.,It's about rediscovering idealism in all these wrecks.,4.5
"Sfera publiczna musi nas informować nie tylko o tym, gdzie jesteśmy geograficznie, ale musi też o tym, gdzie jesteśmy w naszej kulturze.","The public sphere must inform us not only where we are geographically, but also where we are in our culture.",3.916666667
Czekasz z zapartym tchem na ostatni rzut.,You are waiting with bated breath for the final toss.,4.833333333
"Możesz zatrudnić tych ludzi jako pracowników, koordynować ich pracę i uzyskać pewne wyniki.","You can hire these people as employees, coordinate their work and get some results.",4.666666667
"Chciałbym, żebyście wyobrazili sobie, że to jest tablica i właśnie tam użyłam kredy.",And I would like you to imagine that that is a blackboard and I just used some chalk on there.,4.416666667
Więc znowu zaczynamy od DNA.,So again we begin with DNA.,4.666666667
Czy komórki będą to tolerować Czy system odpornościowy zareaguje.,Whether the cells tolerate it or the immune system reacts.,4.083333333
Więc w tym biurze nie pracujesz już przy biurku jak polityk.,"So in this office, you don't work at a desk like a politician anymore.",4.666666667
"Powiedziałem, że podoba mi się język ciała, który lubię sposób, w jaki ona mówi.",I said I like the language of the body that I like the way she talks.,3.25
A ten Rover będzie bardziej podobny do chemika.,And that Rover will be more kind of like a chemist.,3.583333333
Więc nie możesz żyć w strachu.,So you can't live in fear.,4.666666667
"Dlatego tam byłem, chciałem zaprosić ich do oglądania i odkrywania.",That is why I was there I wanted to invite them to look and explore.,4.666666667
Ponieważ tak naprawdę jestem teraz studentem drugiego roku w college'u.,Because I'm really a sophomore at college right now.,4.75
"Tymczasem ten rikszarz w Indiach mógłby zaoszczędzić i kupić antybiotyki, a on mógł kupić chłodzenie.","Meanwhile, this rickshaw in India could save and buy antibiotics, and he could buy cooling.",4.166666667
"To nie jest zwierzę, którego rysujemy lub w ogóle rysujemy.",It is not an animal we draw cartoons of or draw at all.,3.916666667
"Obiecała, że ​​poruszy ten problem ze swoją społecznością.",She promised to raise this problem with her community.,4.416666667
"Teraz moje rozstanie zostało wykonane dzięki uprzejmości wielkiego Josepha Haydna, wspaniałego austriackiego kompozytora drugiej połowy XVIII wieku, który większość swojego życia spędził na zleceniu księcia Nikolausa Esterhazego wraz z jego orkiestrą.","Now my break-up was done courtesy of the great Joseph Haydn, the great Austrian composer of the second half of the 18th century, who spent most of his life on the commission of Prince Nikolaus Esterhaze along with his orchestra.",4.25
"LC Miejmy nadzieję, że w ciągu najbliższych dwóch lat.",LC Hopefully within the next two years.,5
Dziękuję Ci bardzo.,Thank you very much.,4.833333333
"Jest strona, która walczy i jest strona, która utrzymuje szkoły, fabryki i szpitale otwarte.","There's a side that fights and there's a side that keeps schools, factories and hospitals open.",4.416666667
"Ale moja historia, którą chciałbym się dziś z wami podzielić, dotyczy sukcesu.","But my story, which I would like to share with you today, is about success.",4.5
"Zrobię dokładnie to, co mi powiedziano.",I will do exactly as I am told.,4.166666667
Jest większy niż tygrys.,It is bigger than a tiger.,5
"A statek tonie, a kapitan stracił wszystko oprócz kamizelki ratunkowej.",And the ship sinks and the captain has lost everything but for a life jacket.,4.333333333
"Statyny to niesteroidowe leki przeciwzapalne i kilka innych, które również hamują angiogenezę.",Statins nonsteroidal anti inflammatory drugs and a few others they inhibit angiogenesis too.,4.75
"W każdym aspekcie swojego życia pragnęli postępu, tak jak my.",In every aspect of their lives they wished for progress just as we do.,3.75
"Mam na myśli to, że istnieje metoda, którą można zastosować do różnych rzeczy.",I mean there is like there is a method that can be deployed for various things.,4.666666667
"Nie ma się czym martwić, prawda.","There's nothing to worry about, is there?",4.75
"Nie przenosili się fizycznie, ale przenosili się mentalnie.","They didn't move physically, but they moved mentally.",4.416666667
Następnie odwracają się ramię w ramię i odchodzą pogrążeni we własnej zadumie.,Then they turn shoulder to shoulder and walk away in their own amazement.,4.416666667
"Tak, jest bardzo różny, nie, nie jest inny.",Yeah it is very different no it is not different.,4
Ale przejdźmy dalej.,But let's move on.,4.5
Dziękuję Ci bardzo.,Thank you very much.,4.666666667
Więc nasze DNA ma zdolność wykonywania tego rodzaju mechanizmów gojenia ran.,So our DNA has the ability to perform these kinds of wound healing mechanisms.,4.416666667
"Niektórzy mówią, że dzieje się tak dlatego, że w dziewiątej klasie chłopcy zaczynają porzucać szkołę.",And some people say it is because in 9th grade boys start dropping out of school.,4.416666667
"Jeśli zostanie trafiony, nie przechodź przez ulicę.","If he gets hit, don't cross the street.",4
"Dziękuję, że tu jesteście, bo milczałam przez 17 lat.",And I say thank you for being here because I was silent for 17 years.,4.583333333
"A później w wykładzie, który wygłosił na temat czystej energii, wyciągnął ją i powiedział, że ludzie z MIT rozdają okresowe tablice.","And then in a lecture he gave about clean energy, he pulled it out and said that people at MIT are giving out periodic plates.",4.166666667
"W końcu moja mama zabrała czerwoną kredkę, więc było to niejasne.",Eventually my mom took the red crayon away so it was unclear.,3.25
Oto jak działa kształt w normalnych receptorach.,This is how the shape works in normal receptors.,4.833333333
I ten problem został teraz rozwiązany w sposób czysto inżynieryjny.,And this problem has now been resolved in a purely engineering manner.,4.333333333
"A wspaniały człowiek imieniem Miles Loyd, który mieszka na obrzeżach San Francisco, napisał ten przełomowy artykuł, który został całkowicie zignorowany w Journal of Energy, o tym, jak używać samolotu na sznurku do generowania ogromnych ilości energii elektrycznej.","And a wonderful man named Miles Loyd, who lives on the outskirts of San Francisco, wrote this groundbreaking article that was completely ignored in the Journal of Energy about how to use a plane on a string to generate huge amounts of electricity.",4.25
"Tak więc moja strona znajduje się na listach obserwacyjnych wielu wolontariuszy, ponieważ czasami jest niszczona.",So my page is on quite a few volunteers' watch lists because it is sometimes vandalized.,3.5
"Byliśmy w stanie to zrobić, ponieważ wyszkoliliśmy ludzi w kręceniu filmów, kontynuując naszą pracę i wysyłając naszych filmowców z Wiwy i Arhuaco do ostatnich świętych jezior, aby zrobić ostatnie ujęcia do filmu, a my śledziliśmy resztę Arhuaco z powrotem do morza, biorąc elementy od wyżyn do morza.",We were able to because we had trained people in filmmaking continue with our work and send our Wiwa and Arhuaco filmmakers to the final sacred lakes to get the last shots for the film and we followed the rest of the Arhuaco back to the sea taking the elements from the highlands to the sea.,4.166666667
To jest zrobione przeze mnie zdjęcie lotnicze przedstawiające Zatokę Świętego Wawrzyńca podczas sezonu na foki harfowe.,This is an aerial picture that I made that shows the Gulf of St Lawrence during harp seal season.,4.25
"Więc teraz mogłem uporządkować zdjęcia, które chciałem uporządkować od dawna.",So now I can sort out the pictures I've wanted to sort out for a long time.,4.583333333
"To rodzaj danych 3D, które odczyta maszyna.",It's the kind of 3D data the machine will read.,4.5
"Badamy tę rzecz, którą nazywają kinetochorem, od ponad stu lat intensywnymi badaniami i wciąż dopiero zaczynamy odkrywać, o co w tym wszystkim chodzi.",We have been studying this thing they call the kinetochore for over a hundred years with intense study and we are still just beginning to discover what it is all about.,4.25
Zacznijmy więc od danych.,So let is start with the data.,4.916666667
"Chodzi mi o to, że świat zmienił się nieproporcjonalnie do tego, co rozpoznalibyśmy nawet 1000 lub 2000 lat temu.","I mean, the world has changed disproportionately to what we would have recognized even 1,000 or 2,000 years ago.",3.75
"Nie ma szans, by ten rodzaj krwotoku ludzkiego życia został zaakceptowany gdziekolwiek indziej niż Afryka.",There is no way that this type of hemorrhage of human life could be accepted anywhere other than Africa.,4.416666667
"I jest to nacjonalizm idei, która zasadniczo mówi, że można znieść różnice w kastowym wyznaniu wiary, kulturze kolorów, zwyczajach kulinarnych i kostiumach, które są zgodne z tym problemem i nadal gromadzić się wokół konsensusu.","And this is the nationalism of an idea that basically says that you can put up with differences in caste religion, culture of colors, culinary customs and costumes that are consistent with this problem and continue to accumulate around consensus.",4.166666667
"Wskażę kilka, które naprawdę mi się podobają.",I'm gonna point out a few that I really like.,4.333333333
Butelki wykonane z politereftalanu etylenu PET będą tonąć w wodzie morskiej i nie będą tak daleko od cywilizacji.,Bottles made of polyethylene terephthalate PET will sink in seawater and will not be so far from civilization.,4.583333333
"Zacznij od poinformowania ich, jaki jest rynek.",Start with telling them what the market is.,4.5
"Kiedy jesteś zaszczepiony, masz siły w swoim ciele wstępnie wyszkolone do rozpoznawania i pokonywania określonych wrogów.",When you are pre immunized what happens is you have forces in your body pre trained to recognize and defeat specific foes.,4.166666667
"A potem, tak jak teraz, było to piękne miejsce na bale i punki pięknych ludzi, z których wielu wzięło sobie do serca Ronalda Reagana, to komentarz, że nawet jeśli mówią, że ciężka praca nie szkodzi ci, dlaczego ryzykujesz.",And then as now it was a beautiful place of balls and punts beautiful people many of whom took to heart Ronald Reagan is comment that even if they say hard work doesn not do you any harm why risk it.,3.666666667
"Amerykański sen o indywidualnej własności ziemi okazał się bardzo sprytnym sposobem podzielenia rezerwatu tak, aby nic nie zostało.",The American dream of individual land ownership turned out to be a very clever way to divide the reserve so that nothing left.,4.5
"Nie dlatego, że jest to trywialne. Nie dlatego, że nas to nie obchodzi.","Not because it's trivial, not because we don't care.",4.75
"Bez strachu, bez agonii. Puff po polio zniknął.","No fear, no agony.",4
"Jako ludzie jesteśmy wrażliwi na to, gdzie przedmiot w naszej dłoni jest ciężki.","As humans, we are sensitive to where the object in our hand is heavy.",4.166666667
"Wszystkie żyją w koloniach składających się z jednej lub kilku królowych, a wszystkie mrówki, które widzisz, to bezpłodne pracownice.",They all live in colonies consisting of one or a few queens and then all the ants you see walking around are sterile female workers.,4.416666667
I oczywiście przyniesie to wspaniałe rzeczy.,And of course it will bring great things.,4.5
"Ponieważ bierzemy te dane w formie 3D, dzieląc je, zanim przejdą przez maszynę, możemy w rzeczywistości tworzyć struktury, które są bardziej skomplikowane niż jakakolwiek inna technologia produkcji lub w rzeczywistości nie można ich zbudować w żaden inny sposób.","Because we take this data in 3D form, dividing it before it passes through the machine, we can actually create structures that are more complicated than any other production technology or can actually not be built in any other way.",4.25
"Ale nie chcę duplikatu, nawet jeśli nie potrafię odróżnić.","But I don't want a duplicate, even if I can't tell the difference.",4.583333333
"Stopniowo obniżając go, obniżając go.","Gradually reducing it, lowering it.",4.166666667
Więc zasadniczo jesteś w stanie osiągnąć dość wysoki wskaźnik używania prezerwatyw w seksie komercyjnym.,So essentially you are able to achieve quite high rates of condom use in commercial sex.,4.5
A więc tego się nauczyłem z chleba.,So that's what I learned from the bread.,4.166666667
Przed nami wybór.,We have a choice ahead of us.,4.583333333
"Jedna z historii, które opowiadał mi tak często, kiedy byłem małym chłopcem, dotyczyła pierwszego brytyjskiego testu bomby atomowej.",And one of the stories he told me so often when I was a young boy was of the first British atomic bomb test.,4.5
"Rozwiązanie polega na tym, że te konstrukcje pomimo początkowego wyglądu nie są równoznaczne z tym, że kiedy podkręcasz mikroskop na ludzkie poznanie, widzisz, że istnieje między nimi subtelna różnica w znaczeniu.","The solution is that these structures, despite their initial appearance, are not equivalent to the fact that when you turn the microscope on human knowledge, you see that there is a subtle difference between them in the meaning.",3.916666667
"Jeśli chodzi o zręczność, nie jest nawet jasne, jaki algorytm musisz rozwiązać, aby być zręcznym.","When it comes to dexterity, it's not even clear what algorithm you need to solve to be dexterous.",4.416666667
